Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SC_284	0	0.043710497389392686	0.001737951294835054	0	0	0	0	0.001844273021107316	0	0.026596788756722802	0	0.00003271437731454219	0	0	0	0	0	0	0	0.00265080174606862	0	0.002970548532797778	0	0	0	0	0.010576696953290967	0	0.005889449865587027	0	0.008803591865481117	0	0.0009841715686612215	0	0.0004145679165889352	0	0	0	0.4898937009568349	0	0.5097051415024448	0	0.16279104499902922	0	0	0	0	0	0.09567143266087114	0
SC_286	0	0.029659155467708764	0.004043840680978879	0	0	0	0	0.0038816979110919956	0	0.008681123899743752	0.000025942843181901392	0	0	0	0	0	0	0	0	0.0030943059711499004	0	0.001873496572892676	0	0	0	0	0.006566801355195209	0.007756227749582737	0.00417765601568292	0.000015785205032449645	0.008944880187893597	0.007576818723116625	0	0.0013013982594727849	0.012138672191111255	0	0	0	0.24615152592401082	0	0.24473018077552028	0.024301336573511544	0.01251023564734783	0.030291426383260843	0.0028667423486646716	0	0	0	0.004613663364052642	0.019031361376717147
SC_287	0	0.030298042890295456	0.004182456588921935	0	0	0	0	0.004255681884505532	0	0.008119393069122396	0.000030151592299128258	0	0	0	0	0	0	0	0	0.003410298544454028	0	0.0020055663636585224	0	0	0	0	0.007833550115952862	0.009157540134913036	0.005098089796734062	0	0.011625712825811485	0.017219075842070688	0	0.003463347394523755	0.028541448058761805	0	0	0	0.3422468713275467	0	0.342044340626108	0.03448672261179446	0.015699080033910014	0.03980724910957469	0.002097425410308846	0	0	0	0.006311404708307913	0.028401321187385604
SC_288	0	0.03025058967619251	0.0044220131088121934	0	0	0	0	0.004306623877858341	0	0.008241024430059089	0.00004466679907891105	0	0	0	0	0	0	0	0	0.003266090172292405	0	0.0020970738893572195	0	0	0	0	0.022139782435332007	0.02318385794617949	0.014970336437607779	0	0.02968431602970527	0.03928529034373216	0	0.0018255059694045198	0.025969641489099245	0	0	0	0.3435136964133345	0	0.32738691788601587	0.017099481811355545	0.02679588236607641	0.023834351258751676	0.0007455064598134744	0	0	0	0.005979609531497593	0.022423535743115973
SC_290	0.000400691774494568	0.07785332883355267	0.001526960546046867	0.0019348719921539496	0	0.001985409693441553	0	0	0	0	0	0	0	0	0	0.011165222148754043	0	0	0.0029918104224861105	0.000007381995571171757	0	0	0.00003515935061523238	0	0	0	0.0005253546766197722	0	0	0	0.0003621402136976913	0.0008463545569668909	0	0	0.00043588938870872126	0	0	0	0	0.066524504711393	0.0018478652536657028	0.06895009503932019	0.15839097265178353	0.006587863273603373	0.17001180637544272	0	0	0	0.17015856116202138	0.07034488003346134
SC_292	0	0.02966938625638102	0.004119422271953905	0	0	0	0	0.004567345192790247	0	0.008393047516654747	0.000036714993511175626	0	0	0	0	0	0	0	0	0.003335018401911481	0	0.002039832399152056	0	0	0	0	0.018668162712484043	0.019967732993173795	0.014588503894218759	0	0.0238429565266093	0.019572964881403494	0	0.0019413423411617963	0.018869914141890654	0	0	0	0.3608174063004914	0	0.3469180964157521	0.017231872070581748	0.020724314802341846	0.031990869632883154	0.0008653288682363733	0	0	0	0.0026013214713074243	0.02427900039886929
SC_293	0	0.030458560717461888	0.004111075821303365	0	0	0	0	0.003898287217716234	0	0.008681775026354931	0.00005106926486091137	0	0	0	0	0	0	0	0	0.0033376802750743674	0	0.0021673411871069516	0	0	0	0	0.01232877113078235	0.013829547191510113	0.00865339071222972	0	0.021105814285132217	0.023719053680210794	0	0.003909176792520442	0.03108617936725495	0	0	0	0.25822658407576726	0	0.2566383524762452	0.01971375625911761	0.015001618595690587	0.02529144437858131	0.003954757573360753	0	0	0	0.003971185081051887	0.024621347502521703
SC_294	0	0.029343490954664743	0.004292316476216331	0	0	0	0	0.004189756702005853	0	0.008390908934479536	0.00001899255077971828	0	0	0	0	0	0	0	0	0.003162851610930118	0	0.002095664284703065	0	0	0	0	0.011392337839064811	0.012759036658248419	0.008176300780730996	0	0.017105665470979095	0.012691021340954307	0	0.001677100628433564	0.016836283265092653	0	0	0	0.3071452833324902	0	0.3118650474885413	0.01756977997843709	0.020124611594996216	0.026663865614117304	0.003239548406952071	0	0	0	0.004061177579050822	0.022742594442684602
SC_296	0	0.02979126687253648	0.003986665883186147	0	0	0	0	0.004344257732102238	0	0.008659521530508576	0.00004349090054384888	0	0	0	0	0	0	0	0	0.0032258367756277146	0	0.0020416504865865604	0	0	0	0	0.007525428909050575	0.0076154252930337365	0.004292328535824348	0	0.009434520028228083	0.01236338127727167	0	0.0007548822006325913	0.0222000222000222	0	0	0	0.3727723025072767	0	0.37889713401683406	0.03557780998814073	0.017176001162683155	0.0410568836500894	0.0013265942346214563	0	0	0	0.006676013084985647	0.030709660190933973
SC_298	0	0.029356941731221112	0.004321923717849031	0	0	0	0	0.004333200752990191	0	0.008297078605107438	0.000045108140564634384	0	0	0	0	0	0	0	0	0.0033629217110371116	0	0.0020632488214758307	0	0	0	0	0.004891360652806107	0.006120236952801838	0.0025337108075735104	0.0000180772985285079	0.007832184612923438	0.015424476537095444	0	0.0026653517597984996	0.019071003730765104	0	0	0	0.23367158520842526	0	0.23448981950889244	0.019301718955942446	0.016559398562644205	0.028173371192451748	0.0022111786134804503	0	0	0	0.003878438651411475	0.021608443915006787
SC_301	0	0.043960365010760616	0.0017949188573607143	0	0	0	0	0.0019236683112642255	0	0.028241571388599594	0	0.000030293989153767327	0	0	0	0	0	0	0	0.0028036649724483033	0	0.0030165640243149314	0	0	0	0	0.10905577910512551	0	0.11849667418339525	0	0.14211776243478477	0	0.0031176443079609048	0	0.001282084156004	0	0	0	0.7776741516608078	0	0.7833201449033372	0	0.17326101991045753	0	0	0	0	0	0.10171674447875657	0
SC_303	0	0.028033833937510785	0.003830180440897229	0	0	0	0	0.004000771722464232	0	0.007721286339496959	0.000024370183081000395	0	0	0	0	0	0	0	0	0.003120727925350169	0	0.0017551615642726135	0	0	0	0	0.010181636445633023	0.010907093317842809	0.007134881854246026	0	0.014716497892547616	0.012989189097913805	0	0.001588713777325877	0.016920566129393206	0	0	0	0.2526447661469933	0	0.24863146742009537	0.01986069143578613	0.014232342999466286	0.022839523795928855	0	0	0	0	0.0007236413633403285	0.018091034083508213
SC_307	0	0.02965861416812513	0.0040912429860680615	0	0	0	0	0.004234185375571856	0	0.008626766371945215	0.000038633078244268765	0	0	0	0	0	0	0	0	0.0035453553084892923	0	0.0019817084963149297	0	0	0	0	0.010879953280529667	0.011747016257870502	0.0067237474030333805	0	0.013777070786358153	0.011301559805195299	0	0.00111333778668448	0.009133697349229773	0	0	0	0.23279875840662181	0	0.23256810267269715	0.01540480753233469	0.012370496366166694	0.01860903654814778	0.001864210879534693	0	0	0	0.0031202611034491365	0.023089932165523613
SC_309	0	0.04376730477086725	0.0015615900529195059	0	0	0	0	0.0017327232094038352	0	0.027479706602471198	0	0.000017113315648432942	0	0	0	0	0	0	0	0.0025810136657160375	0	0.0029472866240090917	0	0	0	0	0.03494890731400266	0	0.027175616320682373	0	0.03199634826660056	0	0.002062261980596406	0	0	0	0	0	0.4273969350099429	0	0.43332260918523285	0	0.11355320598551565	0	0	0	0	0	0.05642853148559548	0
SC_312	0.00034982325079729545	0.07815131841949695	0.0014957959689263667	0.002139149073840933	0	0.0018978916594979706	0	0	0	0	0	0	0	0	0	0.011552209190122181	0	0	0.0030279627475929324	0.000004112977232861306	0	0	0	0	0	0	0.0016472378727763904	0	0	0	0.000736511256653919	0.0021855534914217026	0	0	0.0007523209100073727	0	0	0	0	0.062344139650872814	0.001100679119016433	0.06527415143603134	0.058863381423605324	0.004457072817427155	0.06260760682422914	0	0	0	0.0619299628420223	0.06530796081522351
SC_313	0.00039358362482209476	0.07828305411855016	0.0014759385930828554	0.002080891201605705	0	0.0019351194887086325	0	0	0	0	0	0	0	0	0	0.011628938396363928	0	0	0.003024834333073705	0	0	0	0.00005769098190916574	0	0	0	0.0009989678270451827	0	0	0	0.0004546022798304333	0.002009707580616994	0	0	0	0	0	0	0	0.06136191576682472	0	0.06280792195503931	0.09274686671536561	0	0.09753113970922496	0	0	0	0.0972924427887174	0.0640300691857371
SC_314	0	0.029122128704059842	0.004118280826836745	0	0	0	0	0.004195215743382047	0	0.007643710237942047	0.00004073024993574803	0	0	0	0	0	0	0	0	0.003051287254833604	0	0.0018650397640778327	0	0	0	0	0.005861207310727619	0.007065809226445822	0.004046931361550737	0	0.007882080357692991	0.004237487827123169	0	0.0005218648317899181	0.01080718059956694	0	0	0	0.19187389964788734	0	0.19091363799674532	0.00990049997524875	0.012053830991108527	0.014919329056459004	0.0007116424708226587	0	0	0	0.002852517703437997	0.014975717943049483
SC_315	0	0.028176899318152693	0.0036262932142958177	0	0	0	0	0.0037465018291343534	0	0.007456941073817146	0.00002404172296770708	0	0	0	0	0	0	0	0	0.003156294972079497	0	0.0019826308185784424	0	0	0	0	0.008994257166798999	0.009832130825176038	0.00618131790234425	0	0.012909352192075322	0.014256495040694246	0	0.0017836227756737634	0.03103111978012235	0	0	0	0.39079781743105735	0	0.3895447061735303	0.03132561354994815	0.01517121803207629	0.04562638508669013	0.004354784274873983	0	0	0	0.008759827431399601	0.03394433129667345
SC_318	0	0.030267701801156566	0.003966605548911899	0	0	0	0	0.004288222215039892	0	0.008568503277829709	0.000027794032875258554	0	0	0	0	0	0	0	0	0.0030699095453774585	0	0.0019351053193225227	0	0	0	0	0.013800490639536398	0.014457103493498822	0.00900870793332975	0	0.019316693539661287	0.019468024172528527	0	0.0036610687182598418	0.022517588062026826	0	0	0	0.30613446367596847	0	0.29519726878353053	0.016309572860870758	0.015476548729633291	0.027555800496004413	0.0008623068432671081	0	0	0	0.0043282173803897124	0.02337237385410445
SC_319	0	0.03023779493487144	0.003973897399076173	0	0	0	0	0.004303725563390393	0	0.009091553755048432	0.0000319188546110536	0	0	0	0	0	0	0	0	0.0031644825510651893	0	0.0021127036247573236	0	0	0	0	0.007249793459121596	0.008694048599731672	0.004107213093338984	0.000029769285063826838	0.009517438100180414	0.008887107436967284	0	0.002259129707932181	0.014518438416789322	0	0	0	0.30998588780199504	0	0.3111678915213074	0.02419488341886437	0.024261616845223655	0.026862120572546912	0	0	0	0	0.001285000192750029	0.02698500404775061
SC_321	0.00044342697427097327	0.07732099497073572	0.001461197458073874	0.001989086713158366	0	0.0018961782042634955	0	0	0	0	0	0	0	0	0	0.012166791551187373	0	0	0.0028896669917791756	0	0	0	0.000086461510793855	0	0	0	0.000835895316757172	0	0	0	0.0005446588193078347	0.0013577483102023605	0	0	0.0012044855040169592	0	0	0	0	0.05057542447231253	0	0.0516752264745895	0.08802256771374638	0.007454024640875741	0.0950113693380163	0	0	0	0.09445404488713814	0.0525937295394292
SC_325	0.00043835175614027666	0.07717999204434539	0.0013623284970241934	0.0020069634325246004	0	0.0019339048065012208	0	0	0	0	0	0	0	0	0	0.011268218672547112	0	0	0.002936503486944948	0.0000044243850690984975	0	0	0.00004321685526502304	0	0	0	0.0011714653793489396	0	0	0	0.0005924307811953853	0.001974031041057523	0	0	0.0015096276503400437	0	0	0	0	0.04617187777475227	0.003583501558823178	0.049286547176842534	0.0760841998478316	0	0.08151446577609071	0	0	0	0.08188106469826217	0.04644000684379048
SC_330	0.0004258929888590019	0.07606267549962685	0.0013592329431670273	0.002029787861796094	0	0.001880272238047721	0	0	0	0	0	0	0	0	0	0.011394902840216912	0	0	0.003174057934052885	0.000004706807102101236	0	0	0.00009585594221256055	0	0	0	0.0015617481324586365	0	0	0	0.0008111327062676674	0.0026803094417250472	0	0	0	0	0	0	0	0.050488868175507066	0.0009772400785701023	0.05302226935312832	0.06696538480476637	0.0009872350507932432	0.07418984687215606	0	0	0	0.07345204772397912	0.05260754769420126
SC_331	0.00037438153076878766	0.0783826105978394	0.0014089627502051148	0.0020611112231571967	0	0.001831651575266649	0	0	0	0	0	0	0	0	0	0.011702442042417912	0	0	0.003013234057756743	0.000008393368651229722	0	0	0.00009354964164959314	0	0	0	0.0005760181702716358	0	0	0	0.00042400982320831904	0.0008110935974975059	0	0	0.0011942057138762724	0	0	0	0	0.05866266380254837	0.002609557940884814	0.05947955390334573	0.14387226949732435	0.0061536838588872374	0.15409270216962526	0	0	0	0.1537170369715977	0.05918989354653474
SC_334	0.00047187484706518335	0.07780215281459583	0.0014549474451176485	0.001919672673287905	0	0.0018767749599183426	0	0	0	0	0	0	0	0	0	0.011607406275914016	0	0	0.002991883514461985	0.000007260579135738414	0	0	0.000035702195420822134	0	0	0	0.0006026903667478504	0	0	0	0.0004134794904574102	0.0007560967864374383	0	0	0.0019230815458691007	0	0	0	0	0.06716047460068718	0.0010112859512155657	0.07229612492770388	0.16631625192205102	0.007402707275803722	0.1834001535443146	0	0	0	0.1850596602218564	0.07423904974016332
SC_337	0.012913077552949626	0.03950317426980582	0	0.00006776901387521273	0.0009364445553665759	0	0.0009241229164801735	0.0003511667082624659	0	0.0009549270136961793	0	0	0	0	0	0	0	0.0000061870513923711684	0	0	0	0.000045244944820019384	0	0	0	0	0.00041859267746527254	0.0001683204552154574	0	0.0016776493107886602	0.0005306659468477912	0.01798028053596492	0.028381488110457685	0.06204513162874675	0.0034548878025186134	0	0	0	0	0	0	0	0.0023933751376190703	0.004795875547029554	0	0.041307253067670996	0.0012149192078726764	0.043737091483416354	0	0.03766249544405297
SC_340	0.036709933085521805	0.05982657536257238	0.0425810696850645	0.017165026651012858	0	0	0.0027401192354262545	0.0010692213520054896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017459182613447586	0	0.0014105310246298867	0.0011050700614418955	0.003756263569502145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_343	0.01464844716562445	0.04322281673802836	0	0.00041569917632177495	0	0.00022269598731523656	0.0002870303836507494	0.000004948799718116368	0.0001088735937985601	0.00006928319605362915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00008323256643956384	0	0.000034120027432502056	0.000402571521863003	0	0.0033412973844774586	0.002299904797880185	0.003309337392787202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_344	0.03956906676850306	0.06266215480152769	0.0444361599463079	0.01785639857547797	0	0	0.0028454460572893826	0.0013403431349672992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020176694035231197	0	0.0014442084233456292	0.0006232872585540982	0.0013694352996598323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC_345	0.0003635591568917728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000018507366116788143	0.005590571397808496	0.0027654845248260927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
