Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SC_284.raw - illumina_universal_adapter	0.015963508631891908	0.017204617510996428	0.017835344974147904	0.017998113351735383	0.018107982006606932	0.018144604891564112	0.018209712242599103	0.018327719316350025	0.018596287139369366	0.019678696850326093	0.02100525912766404	0.024081581464067376	0.03038885609558215	0.04213259453851869	0.06894054632717632	0.12081075905486588	0.2314769789765922	0.4154255916976408	0.7515585682535417	1.3446254980407164	3.3902699830940626	12.539883339020731	38.309564131513916	42.56489921097215	44.07807543321414	44.56353618857823	45.0924683083865	46.0999231814642	49.27792692334643	52.69924904367474	62.279637049305556	91.03561705776788	95.20801757963585	97.84878394524341	98.34001483959298	98.63692470635975	98.71139530831546	98.74206493986237	98.75217285611056
SC_286.raw - illumina_universal_adapter	0.0103010798986955	0.010427017866109018	0.010439934580715533	0.010452851295322047	0.01049160143914159	0.010527122404309508	0.010620768585206738	0.01088556123464029	0.011437750784068796	0.013598071302008385	0.01626214368960205	0.02115757852547113	0.02839093870511938	0.03909243675661684	0.05844490441582754	0.0861254238175886	0.1439341800390453	0.25759158104042007	0.49841080816428074	1.0445747102288463	3.323606293759609	16.90651983117725	61.026229100473216	70.26136035544474	73.64720906771448	74.45415820850593	75.14820880527914	76.13202328999894	77.84710465545197	79.1274772200014	81.8578640203849	93.01275490046429	95.7765475539989	97.72807260950282	98.26445855861026	98.68895346743875	98.79614282360092	98.84080882271024	98.85880503533578
SC_287.raw - illumina_universal_adapter	0.057673983643403794	0.05782240933660373	0.05785209447524372	0.05785633520933515	0.05786905741160943	0.05795387209343796	0.05812350145709503	0.058564537802603414	0.05977738775275146	0.06471784296926363	0.07475566056367074	0.10038665741225401	0.15476983140071066	0.24539855966859173	0.4366175005851153	0.6736575733595049	1.1315126702744853	1.6749966699635548	2.5415482742056965	3.8983753874917766	8.904553500952872	26.52731840614723	68.52276954031672	76.6106085440699	78.9719553045286	79.58882096693571	80.13998493606437	80.9641928104036	82.60424159071971	84.08850700418726	87.48100946264682	96.50749679093049	97.99800456498062	98.81355286030518	98.91988078617952	98.97888211959354	98.99950480948014	99.01008544103826	99.01310060297726
SC_288.raw - illumina_universal_adapter	0.00609067473668839	0.006153049116521946	0.006175063603522025	0.006186070847022064	0.0062007471716887825	0.00624110706452226	0.006358517661856012	0.006813483726524301	0.007862840940194711	0.012610631969878312	0.02155952093541023	0.04660466897916622	0.09704719685867946	0.18441535759965774	0.382046745561696	0.618966654656541	1.0243891163311536	1.5369781007221486	2.373748751595133	3.900468101375245	8.183797484331189	23.50873865061468	83.30653558751897	89.84883018685163	91.8769661688702	92.28685390232465	92.59201505203858	93.00262192540171	93.6003739527525	94.04144887612375	95.16728074855126	98.05537597441624	98.50407524845183	98.7463887068617	98.78388671638517	98.82515654134798	98.83893394112886	98.84700958877671	98.84987147208673
SC_290.raw - illumina_universal_adapter	0.006995892355339186	0.007089266688624	0.007107223291178772	0.0071179972527116355	0.00715391045782118	0.007179049701397861	0.007225736868040268	0.007412485534609897	0.007793165508771064	0.0096965653795769	0.011165415468557253	0.01527747745360005	0.020668049540542615	0.03084944318909836	0.06159473808337904	0.1059224071500893	0.2022093013692879	0.42084889407619225	0.8512183788269246	1.598468028861719	5.182860882550496	19.17156783155098	47.83609830895132	56.201429410207126	58.73838131499146	59.38829540521785	59.94517274628746	61.01344694547596	62.75370749075118	65.01463768370458	70.79364340579146	89.29047034842381	94.25562179027973	98.03755522867357	98.60829147559495	98.878613761775	98.97592777366033	99.01226834591067	99.02641455740333
SC_292.raw - illumina_universal_adapter	0.0091477734424049	0.009219916766083172	0.009234345430818827	0.009234345430818827	0.009237952597002741	0.00927763142502579	0.009411096573830593	0.009923314171946326	0.011019892691856062	0.014879560508643619	0.021202922829044166	0.038286461876059	0.0718295002202716	0.14192395350608075	0.3150246443397268	0.5542230483274058	1.3163234766675687	1.9035520955777838	2.6878293816166474	4.246879070799762	8.62600767540035	25.555848978484804	79.11957225646245	87.98511740947175	90.74906521190135	91.36919118640886	91.8948635143906	92.52822057446069	93.41818061535585	93.96457250589799	94.83501056340582	97.02703134587735	98.00939977007201	98.57826430593992	98.67077729705876	98.82264981490007	98.86029059402921	98.88261534554145	98.88861045573911
SC_293.raw - illumina_universal_adapter	0.003942278830923084	0.00397583014012243	0.0039842179674222655	0.00399679970837202	0.004017769276621611	0.004072290154070547	0.0041813319089684204	0.004638468496809501	0.0055149964496424	0.00845492991823504	0.014586431674415411	0.029311262499278123	0.062464149901881295	0.12376658572273526	0.2504605231731134	0.45508576406627105	1.026372293630825	1.5736067284130981	2.3640336340131767	3.6578979341494327	8.057841786033487	22.585621578054795	75.36634779362606	83.68286597967285	86.41994823284625	87.49817826875832	88.49226162119842	89.38817384292125	90.99578482320787	92.11260305861283	94.32172610413899	97.66609544164784	98.38840899565959	98.80192888154153	98.85163514612036	98.8872540547491	98.89882506250923	98.90435264069983	98.90731354373666
SC_294.raw - illumina_universal_adapter	0.26682491193452956	0.26773902417388645	0.26788966439310635	0.2680437282536721	0.2683210432026905	0.26978636169873826	0.27257662939565164	0.28582269776296193	0.31034624072368655	0.40824526500986846	0.517524473129842	0.8689886464178594	1.4878939870826697	2.377198521247135	5.251982228425556	6.852459237526999	9.062378642613167	13.197925122704161	17.588782808883405	22.391357332397263	31.57653171916404	46.34071455571731	72.23163932814873	81.95982035058293	84.92662811349796	86.04838420048405	87.31354635252612	88.3993165453254	89.67555417712147	90.55199266710802	92.06152064385547	95.7978979321446	97.02764936174594	97.94390480058539	98.41384065900714	98.64979459692563	98.76248375182612	98.85549381627035	98.89282520150611
SC_296.raw - illumina_universal_adapter	0.007570239842331106	0.007632803807970207	0.007647241646194614	0.007652054258936084	0.007680929935384898	0.0077146182245751834	0.007762744351989876	0.008013000214546276	0.008378758782897937	0.009634850708421409	0.011136385883759809	0.015101978782730459	0.02050173027865894	0.031036539569735094	0.05011854908966061	0.08710829062059315	0.18606042119794208	0.3485871660900996	0.6397598621744712	1.1707931772936695	3.70610163256337	15.86178926974088	65.97319644209315	74.06734212007333	76.67271259163336	77.08430648373476	77.41513992142158	78.05838411522087	79.86893715468902	80.99325011812557	84.16498810755266	95.82532795308896	97.66995910337944	98.75267184227874	98.86909375710762	98.97510117796396	98.99880810832845	99.00732643288084	99.01156634470608
SC_298.raw - illumina_universal_adapter	0.003525712038532563	0.0035760793533687425	0.003578877537526308	0.0035844739058414387	0.0035900702741565697	0.003612455747417094	0.003665621246410839	0.003847503216652598	0.004127321632409151	0.005246595295435362	0.006651283742533255	0.010669476192797352	0.022206389474440015	0.04326552344427816	0.1059168667321703	0.20139930474077875	0.4857172006226967	0.7904702354073158	1.360656221194443	2.5511548637673265	6.347067959106889	19.990303172620372	56.10820656486462	62.045866603509786	63.89541596434576	64.34846716311304	64.75376175286314	65.34113138756189	66.77777509773918	68.5935531739775	75.95967503232322	96.04788666861681	97.71951348979398	98.51435169067126	98.6490282941749	98.77157197117131	98.81500258748089	98.83435762729877	98.83855770171928
