Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SC_284.raw	(18.0, 1.0)	(19.0, 3.0)	(20.0, 22.0)	(21.0, 121.0)	(22.0, 514.0)	(23.0, 1696.0)	(24.0, 4350.0)	(25.0, 9292.0)	(26.0, 17059.0)	(27.0, 29141.0)	(28.0, 45443.0)	(29.0, 67433.0)	(30.0, 93706.0)	(31.0, 124515.0)	(32.0, 162131.0)	(33.0, 220291.0)	(34.0, 334918.0)	(35.0, 720412.0)	(36.0, 7041446.0)	(37.0, 15702304.0)				
SC_286.raw	(15.0, 2.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 64.0)	(19.0, 245.0)	(20.0, 388.0)	(21.0, 630.0)	(22.0, 1874.0)	(23.0, 5024.0)	(24.0, 11787.0)	(25.0, 21574.0)	(26.0, 33729.0)	(27.0, 48404.0)	(28.0, 67343.0)	(29.0, 91278.0)	(30.0, 119481.0)	(31.0, 155014.0)	(32.0, 205720.0)	(33.0, 290459.0)	(34.0, 451132.0)	(35.0, 1084696.0)	(36.0, 11251988.0)	(37.0, 17126776.0)	
SC_287.raw	(15.0, 1.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 35.0)	(19.0, 182.0)	(20.0, 337.0)	(21.0, 624.0)	(22.0, 1755.0)	(23.0, 4345.0)	(24.0, 9785.0)	(25.0, 17789.0)	(26.0, 27314.0)	(27.0, 40286.0)	(28.0, 55674.0)	(29.0, 74816.0)	(30.0, 96508.0)	(31.0, 123076.0)	(32.0, 162206.0)	(33.0, 227472.0)	(34.0, 352402.0)	(35.0, 838654.0)	(36.0, 8758069.0)	(37.0, 12789474.0)	
SC_288.raw	(14.0, 1.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 12.0)	(18.0, 53.0)	(19.0, 198.0)	(20.0, 373.0)	(21.0, 587.0)	(22.0, 1689.0)	(23.0, 4562.0)	(24.0, 10548.0)	(25.0, 19229.0)	(26.0, 29479.0)	(27.0, 42279.0)	(28.0, 59157.0)	(29.0, 79292.0)	(30.0, 102759.0)	(31.0, 131230.0)	(32.0, 172549.0)	(33.0, 243799.0)	(34.0, 375474.0)	(35.0, 818157.0)	(36.0, 8114615.0)	(37.0, 17048733.0)
SC_290.raw	(17.0, 6.0)	(18.0, 13.0)	(19.0, 56.0)	(20.0, 188.0)	(21.0, 533.0)	(22.0, 1394.0)	(23.0, 3141.0)	(24.0, 7236.0)	(25.0, 13406.0)	(26.0, 21423.0)	(27.0, 31858.0)	(28.0, 45005.0)	(29.0, 61712.0)	(30.0, 81406.0)	(31.0, 106648.0)	(32.0, 140238.0)	(33.0, 192444.0)	(34.0, 282799.0)	(35.0, 584099.0)	(36.0, 8997616.0)	(37.0, 17273690.0)			
SC_292.raw	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 18.0)	(18.0, 57.0)	(19.0, 211.0)	(20.0, 347.0)	(21.0, 596.0)	(22.0, 1955.0)	(23.0, 4827.0)	(24.0, 10609.0)	(25.0, 19708.0)	(26.0, 29958.0)	(27.0, 43222.0)	(28.0, 59418.0)	(29.0, 80299.0)	(30.0, 104747.0)	(31.0, 134833.0)	(32.0, 178606.0)	(33.0, 250967.0)	(34.0, 385268.0)	(35.0, 855451.0)	(36.0, 8572632.0)	(37.0, 16988859.0)
SC_293.raw	(14.0, 1.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 13.0)	(18.0, 33.0)	(19.0, 167.0)	(20.0, 271.0)	(21.0, 433.0)	(22.0, 1363.0)	(23.0, 3694.0)	(24.0, 8350.0)	(25.0, 15654.0)	(26.0, 24999.0)	(27.0, 36369.0)	(28.0, 51275.0)	(29.0, 69983.0)	(30.0, 91124.0)	(31.0, 117682.0)	(32.0, 158028.0)	(33.0, 223200.0)	(34.0, 352667.0)	(35.0, 845365.0)	(36.0, 8948547.0)	(37.0, 12894855.0)
SC_294.raw	(15.0, 3.0)	(16.0, 5.0)	(17.0, 10.0)	(18.0, 56.0)	(19.0, 233.0)	(20.0, 355.0)	(21.0, 596.0)	(22.0, 1743.0)	(23.0, 4414.0)	(24.0, 9843.0)	(25.0, 18389.0)	(26.0, 30477.0)	(27.0, 46391.0)	(28.0, 67801.0)	(29.0, 93907.0)	(30.0, 123926.0)	(31.0, 161799.0)	(32.0, 218266.0)	(33.0, 296371.0)	(34.0, 470777.0)	(35.0, 981787.0)	(36.0, 10690411.0)	(37.0, 15991107.0)	
SC_296.raw	(16.0, 3.0)	(17.0, 5.0)	(18.0, 41.0)	(19.0, 162.0)	(20.0, 268.0)	(21.0, 282.0)	(22.0, 870.0)	(23.0, 2172.0)	(24.0, 5211.0)	(25.0, 10227.0)	(26.0, 17463.0)	(27.0, 27312.0)	(28.0, 41003.0)	(29.0, 58038.0)	(30.0, 76448.0)	(31.0, 100416.0)	(32.0, 133901.0)	(33.0, 190043.0)	(34.0, 293939.0)	(35.0, 652451.0)	(36.0, 6429356.0)	(37.0, 12739123.0)		
SC_298.raw	(14.0, 1.0)	(15.0, 5.0)	(16.0, 6.0)	(17.0, 25.0)	(18.0, 71.0)	(19.0, 313.0)	(20.0, 521.0)	(21.0, 950.0)	(22.0, 2858.0)	(23.0, 7577.0)	(24.0, 16914.0)	(25.0, 31253.0)	(26.0, 48125.0)	(27.0, 65794.0)	(28.0, 87534.0)	(29.0, 112823.0)	(30.0, 146237.0)	(31.0, 186966.0)	(32.0, 246724.0)	(33.0, 339382.0)	(34.0, 518712.0)	(35.0, 1223358.0)	(36.0, 12645029.0)	(37.0, 20056284.0)
