Sample	Unique Reads	Duplicate Reads
SC_284.raw	389834.0	24184964.0
SC_286.raw	536544.0	30431083.0
SC_287.raw	423375.0	23157448.0
SC_288.raw	384047.0	26870733.0
SC_290.raw	450301.0	27394610.0
SC_292.raw	431056.0	27291537.0
SC_293.raw	483240.0	23360837.0
SC_294.raw	687935.0	28520732.0
SC_296.raw	274458.0	20504276.0
SC_298.raw	504708.0	35232754.0
SC_301.raw	324612.0	26309383.0
SC_303.raw	552046.0	24325036.0
SC_307.raw	423321.0	25623894.0
SC_309.raw	430499.0	23221947.0
SC_312.raw	351385.0	24742400.0
SC_313.raw	521976.0	27061867.0
SC_314.raw	470926.0	21823334.0
SC_315.raw	419455.0	24734792.0
SC_318.raw	355104.0	25043460.0
SC_319.raw	285437.0	18837896.0
SC_321.raw	422407.0	23498249.0
SC_325.raw	416402.0	23160472.0
SC_330.raw	425699.0	22094816.0
SC_331.raw	395937.0	24801548.0
SC_334.raw	574223.0	27521335.0
SC_337.raw	318013.0	15990461.0
SC_340.raw	398622.0	25858824.0
SC_343.raw	250116.0	20016291.0
SC_344.raw	357039.0	22260746.0
SC_345.raw	143937.0	5577956.0
SC_346.raw	87455.0	1449688.0
SC_350.raw	365865.0	20984112.0
SC_359.raw	390322.0	33957599.0
SC_360.raw	339754.0	27575953.0
SC_363.raw	310559.0	24441724.0
SC_366.raw	352608.0	20892990.0
SC_371.raw	595809.0	25749782.0
SC_372.raw	105222.0	2880082.0
SC_373.raw	918209.0	29520270.0
SC_375.raw	347483.0	27134038.0
SC_380.raw	279089.0	25219937.0
SC_387.raw	421508.0	28271885.0
SC_390.raw	273039.0	23313034.0
SC_394.raw	333667.0	27357622.0
SC_398.raw	422692.0	32803738.0
SC_400.raw	636868.0	28541579.0
SC_403.raw	417217.0	25004302.0
SC_408.raw	292218.0	22586330.0
SC_409.raw	470241.0	24354302.0
SC_410.raw	336858.0	25296498.0
SC_413.raw	358228.0	34764046.0
SC_414.raw	344276.0	30458479.0
SC_417.raw	346661.0	32406734.0
SC_421.raw	257687.0	26337638.0
SC_428.raw	307285.0	30035614.0
SC_429.raw	395381.0	26182406.0
SC_433.raw	356032.0	22645020.0
SC_439.raw	368216.0	26637592.0
SC_443.raw	322026.0	25552236.0
SC_457.raw	290379.0	28356590.0
SC_458.raw	393504.0	25446994.0
SC_459.raw	265213.0	21800688.0
SC_460.raw	264055.0	24394306.0
SC_461.raw	279689.0	26557052.0
SC_471.raw	396332.0	27172730.0
SC_472.raw	495034.0	24746992.0
SC_473.raw	382726.0	30415982.0
SC_479.raw	329535.0	28801552.0
SC_484.raw	264623.0	22291872.0
SC_485.raw	244370.0	23891996.0
SC_486.raw	276812.0	23702184.0
SC_487.raw	279585.0	32695593.0
SC_488.raw	253724.0	27262483.0
SC_491.raw	287838.0	29806328.0
SC_492.raw	401884.0	25688535.0
SC_496.raw	310360.0	29692622.0
SC_497.raw	318578.0	27108701.0
SC_498.raw	362132.0	25949940.0
