Sample	Unique Reads	Duplicate Reads
SC_498.raw	362132	25949940
SC_497.raw	318578	27108701
SC_496.raw	310360	29692622
SC_492.raw	401884	25688535
SC_491.raw	287838	29806328
SC_488.raw	253724	27262483
SC_487.raw	279585	32695593
SC_486.raw	276812	23702184
SC_485.raw	244370	23891996
SC_484.raw	264623	22291872
SC_479.raw	329535	28801552
SC_473.raw	382726	30415982
SC_472.raw	495034	24746992
SC_471.raw	396332	27172730
SC_461.raw	279689	26557052
SC_460.raw	264055	24394306
SC_459.raw	265213	21800688
SC_458.raw	393504	25446994
SC_457.raw	290379	28356590
SC_443.raw	322026	25552236
SC_439.raw	368216	26637592
SC_433.raw	356032	22645020
SC_429.raw	395381	26182406
SC_428.raw	307285	30035614
SC_421.raw	257687	26337638
SC_417.raw	346661	32406734
SC_414.raw	344276	30458479
SC_413.raw	358228	34764046
SC_410.raw	336858	25296498
SC_409.raw	470241	24354302
SC_408.raw	292218	22586330
SC_403.raw	417217	25004302
SC_400.raw	636868	28541579
SC_398.raw	422692	32803738
SC_394.raw	333667	27357622
SC_390.raw	273039	23313034
SC_387.raw	421508	28271885
SC_380.raw	279089	25219937
SC_375.raw	347483	27134038
SC_373.raw	918209	29520270
SC_372.raw	105222	2880082
SC_371.raw	595809	25749782
SC_366.raw	352608	20892990
SC_363.raw	310559	24441724
SC_360.raw	339754	27575953
SC_359.raw	390322	33957599
SC_350.raw	365865	20984112
SC_346.raw	87455	1449688
SC_345.raw	143937	5577956
SC_344.raw	357039	22260746
SC_343.raw	250116	20016291
SC_340.raw	398622	25858824
SC_337.raw	318013	15990461
SC_334.raw	574223	27521335
SC_331.raw	395937	24801548
SC_330.raw	425699	22094816
SC_325.raw	416402	23160472
SC_321.raw	422407	23498249
SC_319.raw	285437	18837896
SC_318.raw	355104	25043460
SC_315.raw	419455	24734792
SC_314.raw	470926	21823334
SC_313.raw	521976	27061867
SC_312.raw	351385	24742400
SC_309.raw	430499	23221947
SC_307.raw	423321	25623894
SC_303.raw	552046	24325036
SC_301.raw	324612	26309383
SC_298.raw	504708	35232754
SC_296.raw	274458	20504276
SC_294.raw	687935	28520732
SC_293.raw	483240	23360837
SC_292.raw	431056	27291537
SC_290.raw	450301	27394610
SC_288.raw	384047	26870733
SC_287.raw	423375	23157448
SC_286.raw	536544	30431083
SC_284.raw	389834	24184964
