Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
SC_498	12914823	3540642	737921	3493141	83686	10034	43407	44353
SC_497	14803858	3983023	700573	2921623	90379	11821	46326	48558
SC_496	11722940	3483510	592041	2814760	48527	9436	42140	52924
SC_492	10912423	4150567	863958	3545114	75359	10361	43953	56812
SC_491	11019641	2798205	607848	2315087	44001	7409	35011	48310
SC_488	4115716	1120026	230959	954866	16355	2968	10974	12144
SC_487	15346510	5298439	1056470	3538847	65730	11917	51514	54421
SC_486	8954427	3105670	555697	2915336	40293	7886	37191	42943
SC_485	14086936	3869227	744332	2849300	56409	10027	48492	61897
SC_484	12905857	3061803	593210	1899692	52096	8931	36575	40768
SC_479	11020415	2966443	625948	2529276	47097	8120	34168	34812
SC_473	15947309	5575279	968167	3489212	69342	13268	52176	54333
SC_472	7309265	6122466	924556	5383260	61197	15243	48573	48421
SC_471	9032773	6489280	917986	5591035	54600	11437	48167	45421
SC_461	9071963	4752942	693719	2060866	47583	8535	37430	36634
SC_460	9603699	4671338	813723	2222641	45508	7806	37199	35684
SC_459	10040369	3892169	610114	2328148	47038	8738	37669	38237
SC_458	11229082	4935231	1022454	4190948	67625	13637	50347	53189
SC_457	9766407	3285400	566033	1880815	43105	6853	32162	33231
SC_443	9229231	3597575	660555	2805940	43666	8761	38738	33520
SC_439	8183854	2384910	503839	2019750	34174	5525	24040	25495
SC_433	11573417	2825348	496634	2082372	50918	7067	28898	31036
SC_429	13928349	4188607	786245	2727966	56819	9360	40219	42645
SC_428	7627732	3411560	586860	2358810	28328	6123	26970	23612
SC_421	6733315	2071555	372722	1210910	27106	4688	21764	23642
SC_417	16948104	4290026	837904	3358160	50420	9152	46822	41057
SC_414	8120674	2120625	435409	1617948	38547	6356	28814	37051
SC_413	7710451	1705327	388933	1413408	34883	5528	25284	33691
SC_410	10324345	3071216	517620	2007815	51211	7727	39027	48504
SC_409	8049870	4003051	618332	2529833	47028	9935	44968	48548
SC_408	6813110	2653748	458166	1910508	35965	7069	31426	35297
SC_403	10142922	4975931	794601	3460201	66128	10439	62204	59332
SC_400	10845487	4839879	701193	2947085	63105	12263	57837	59281
SC_398	13860413	5058424	888498	3752971	76954	14095	63440	72951
SC_394	14902770	3528023	622235	2161518	68630	11138	53230	68518
SC_390	7127285	2191497	376615	1333859	35736	6008	28980	36720
SC_387	9259513	2497973	553484	2065490	40896	6964	35652	43364
SC_380	13363299	3287636	837761	2245500	56955	9351	48335	59790
SC_375	11476586	4058530	659024	2541447	63438	9594	49561	58718
SC_373	8203313	3811171	741155	2564914	47718	8859	43801	48967
SC_372	634947	397439	91911	190827	3134	718	2846	2607
SC_371	6282442	4290645	1244621	2819062	46463	9224	40477	45447
SC_366	7973901	3088877	886402	2075105	43489	6973	37249	44186
SC_363	11960593	3690024	957539	2307899	48874	8405	40696	46228
SC_360	9180880	2476536	611435	1816947	35545	6082	27913	28359
SC_359	18787801	6830561	1315491	5198979	79892	16514	65527	66326
SC_350	4174281	1875614	339961	1219232	19639	3669	18447	16406
SC_346	477499	309743	80426	169935	2527	437	2440	2111
SC_345	3068232	1041183	237555	621491	13541	2540	8942	11057
SC_344	9089113	3313226	745209	2073079	41754	7859	37461	32809
SC_343	4917578	1232934	244554	1024505	21219	3622	17033	16501
SC_340	8970775	2680238	573596	2514110	40054	6503	31402	41417
SC_337	7129250	1957062	455518	1269926	30397	5779	23649	28216
SC_334	9114916	4919909	812115	3234658	40023	10013	40158	37564
SC_331	8034655	3289147	549743	2268205	43770	7521	29690	30370
SC_330	8755214	5188371	799413	2633470	42507	11521	43715	40989
SC_325	9554782	5736490	834502	3454769	58411	12037	51360	50775
SC_321	9616640	4267498	727279	3381380	40047	10072	37918	37245
SC_319	8189885	2919413	608658	1909666	52212	7449	27815	28481
SC_318	14139299	3781498	698627	3333362	84487	11012	45182	44231
SC_315	10690609	4119562	776542	4173763	79934	11275	43006	40121
SC_314	7607393	4646997	665803	2405726	69089	10863	38171	36128
SC_313	12478702	2992590	626148	2454279	44055	9420	32605	35525
SC_312	12215063	5215430	750582	3335432	50787	12481	46993	46241
SC_309	11969352	4161337	896653	2275686	64150	10650	47508	54429
SC_307	14499245	3423217	831690	2584189	80211	11714	53863	46324
SC_303	10906088	4630373	827092	3029949	85293	16137	41610	40998
SC_301	17939110	3571477	797908	2505264	79094	11922	50300	76687
SC_298	13685829	4261090	701719	2906316	85529	12484	49511	45858
SC_296	10470492	2676172	621036	2015831	60442	7953	29476	31148
SC_294	7182153	5166311	1078216	2428151	74587	19795	46034	37691
SC_293	12163468	3718062	541763	2466214	79655	9443	44645	40163
SC_292	15220731	4525793	757833	3224842	98732	12832	50194	49736
SC_290	8230557	4641306	710269	2506766	36235	9655	36649	35775
SC_288	16182698	3422319	696695	3236192	92388	13645	47427	48149
SC_287	10170683	3836090	598261	2583959	69484	10240	39806	37338
SC_286	13084871	4051339	907324	4192300	85201	11675	47051	44573
SC_284	6413057	1862561	368004	1579742	30654	5229	21881	25442
