Sample	ref_miRNA	iso_3p	iso_5p	iso_add3p	iso_snv_seed	iso_snv_central_offset	iso_snv_central	iso_snv_central_supp
SC_498	651	18738	7730	13757	7209	1085	4085	4779
SC_497	557	17029	6715	12686	7280	1167	4243	4975
SC_496	626	17127	6992	13155	5445	1038	3986	4930
SC_492	712	19843	8293	14630	6104	1088	4274	5621
SC_491	594	15305	6289	12108	4723	879	3453	4419
SC_488	505	9440	3856	7460	2649	449	1784	2140
SC_487	497	15507	6006	11462	6085	1133	4205	4854
SC_486	656	16798	6966	12710	5133	947	3847	4645
SC_485	619	16901	6878	13403	5722	1035	4235	5295
SC_484	516	13516	5282	9702	5008	945	3395	4043
SC_479	555	14278	5866	10726	4878	862	3363	3768
SC_473	601	17945	7216	12929	6532	1154	4382	5063
SC_472	752	26125	10679	18758	8667	1951	5947	6884
SC_471	801	26073	10835	20349	8033	1567	5664	6516
SC_461	566	15802	5963	11394	6019	1079	4053	4689
SC_460	625	16920	6940	12738	5615	976	3886	4611
SC_459	568	15365	6078	11398	5543	1023	3815	4450
SC_458	634	18619	7585	12999	6704	1184	4587	5403
SC_457	545	14125	5542	10582	4849	861	3387	3816
SC_443	686	18301	7699	14358	5832	1039	4070	4719
SC_439	597	13935	5783	11255	4285	768	2950	3442
SC_433	600	14749	6031	11333	4711	811	3109	3833
SC_429	634	16357	6649	12171	5728	1036	3733	4635
SC_428	693	16468	6963	13026	4331	858	3239	3621
SC_421	465	10315	3847	7825	3651	648	2562	2826
SC_417	646	15965	6724	12807	4774	841	3507	3867
SC_414	574	13723	5559	10735	4292	794	3357	3972
SC_413	531	12720	5093	10279	3878	729	3147	3711
SC_410	616	16695	6414	12442	5268	975	4101	4978
SC_409	696	21224	8758	16174	6414	1258	5239	5984
SC_408	655	16112	6468	12205	4647	889	3695	4494
SC_403	736	23522	9873	17943	7180	1341	5734	6892
SC_400	730	23046	9521	17299	7366	1382	5880	6730
SC_398	669	21497	8961	16656	7186	1419	5689	6725
SC_394	621	17575	6943	12922	5940	1139	4746	5570
SC_390	510	13359	5023	9826	4377	841	3405	4057
SC_387	579	15009	6194	12313	4598	903	3777	4371
SC_380	589	15621	6390	12274	5207	1000	4164	4974
SC_375	647	19057	7632	14117	6122	1171	4824	5625
SC_373	667	20045	8490	16234	6228	1158	5000	5880
SC_372	331	4308	1701	3392	981	178	654	877
SC_371	595	17506	7285	13461	6060	1126	4659	5562
SC_366	558	15324	6405	12169	5124	957	4090	4715
SC_363	493	13674	5267	10311	5175	903	3777	4120
SC_360	568	13738	5774	11170	4155	763	3110	3317
SC_359	764	23090	9797	17209	7527	1280	5247	5896
SC_350	574	13258	5429	10489	3786	640	2844	3118
SC_346	323	4126	1581	3372	909	163	662	783
SC_345	404	7246	2730	5574	2056	376	1414	1814
SC_344	615	16201	6734	12429	5175	883	3683	4060
SC_343	489	9663	3739	7721	3111	551	2219	2502
SC_340	637	16932	7178	13239	4621	798	3435	4254
SC_337	562	13321	5645	10346	4297	809	3121	3741
SC_334	758	21151	9202	16994	6128	1373	4636	5435
SC_331	667	17379	7474	13089	4854	1053	3679	4346
SC_330	731	22927	9927	16964	6631	1446	5073	5907
SC_325	790	25719	10981	19358	7750	1617	5652	6716
SC_321	745	20385	8842	15297	5798	1234	4364	5246
SC_319	514	13926	5452	10101	5959	893	3360	3841
SC_318	646	18589	7655	13998	7386	1134	4314	4840
SC_315	703	21142	8844	15985	8192	1262	4708	5327
SC_314	753	23298	9493	17296	8561	1364	5062	5584
SC_313	649	15768	6884	12470	4603	1003	3429	4094
SC_312	734	21287	9018	16478	6067	1396	4621	5552
SC_309	558	16837	6738	12544	6126	1071	4206	4883
SC_307	599	16809	6886	12653	6900	1117	3946	4634
SC_303	703	22001	9224	15658	8533	1317	4835	5545
SC_301	556	15794	6391	11982	6002	1091	4108	4704
SC_298	697	21125	8618	15063	8003	1244	4777	5500
SC_296	544	14761	6102	11198	6048	899	3267	3891
SC_294	691	22804	9706	14706	8939	1447	5202	5668
SC_293	611	17927	7016	12768	7378	1060	4264	4716
SC_292	636	19945	8220	14380	8285	1268	4674	5264
SC_290	770	21703	9104	16453	6007	1342	4543	5583
SC_288	632	18576	7682	13293	7437	1158	4362	4815
SC_287	655	19979	8281	14266	7509	1184	4395	5062
SC_286	658	20044	8463	15318	7878	1179	4486	5268
SC_284	573	13172	5476	9794	4090	730	2890	3181
