Sample	miRNA	rRNA	tRNA	Artifact	Unknown
SC_284	9848101.0	1005852.0	10714163.0	8990.0	2728924.0
SC_286	21230897.0	1968708.0	4748325.0	19187.0	2775378.0
SC_287	16486573.0	1554034.0	3386080.0	12507.0	1541313.0
SC_288	22844265.0	1489412.0	1192645.0	18053.0	1095715.0
SC_290	15129269.0	970711.0	7802221.0	12414.0	3630618.0
SC_292	22814200.0	1621492.0	1009369.0	17525.0	1524321.0
SC_293	18295946.0	1996679.0	1692628.0	15408.0	1255546.0
SC_294	14481673.0	4479664.0	2242563.0	21167.0	3614273.0
SC_296	15145061.0	607449.0	3617688.0	10122.0	1234925.0
SC_298	20766093.0	1602047.0	10020675.0	15568.0	2844447.0
SC_301	24106873.0	803119.0	359193.0	18085.0	978880.0
SC_303	18496703.0	1637792.0	2074603.0	19323.0	2147429.0
SC_307	20571365.0	1464275.0	1985365.0	20464.0	1683091.0
SC_309	18417550.0	1628868.0	1764810.0	17856.0	1319314.0
SC_312	20450270.0	526227.0	1891147.0	14020.0	1816056.0
SC_313	17887163.0	2253209.0	4770229.0	16156.0	2350945.0
SC_314	14355710.0	1137749.0	4133426.0	14624.0	2309814.0
SC_315	18791733.0	1427998.0	2605509.0	14987.0	1986113.0
SC_318	21106323.0	1161372.0	1356152.0	16750.0	1436654.0
SC_319	12981305.0	1517719.0	2654254.0	12529.0	1471214.0
SC_321	17076959.0	1369956.0	3000449.0	17450.0	2054228.0
SC_325	18349453.0	1180454.0	1800226.0	15171.0	1729881.0
SC_330	16317730.0	1585448.0	2051702.0	17896.0	1850365.0
SC_331	13455654.0	1477131.0	6836481.0	12988.0	2844241.0
SC_334	16898600.0	1562723.0	6208683.0	13843.0	3177044.0
SC_337	10360079.0	861940.0	3073215.0	6938.0	1810360.0
SC_340	14337196.0	806458.0	8294365.0	7371.0	2495669.0
SC_343	7144667.0	517317.0	10249491.0	4744.0	2236498.0
SC_344	14407952.0	1121353.0	4276407.0	12248.0	2494291.0
SC_345	4724353.0	250042.0	137360.0	4963.0	317250.0
SC_346	959685.0	128115.0	182686.0	1605.0	229230.0
SC_350	7200557.0	756887.0	10103532.0	6642.0	3073088.0
SC_359	30638428.0	607775.0	909790.0	22904.0	1559483.0
SC_360	13474628.0	703195.0	10111535.0	12690.0	3385831.0
SC_363	17995998.0	1594390.0	2636567.0	15691.0	2139987.0
SC_366	13171099.0	1068478.0	3616449.0	13393.0	3215347.0
SC_371	13351661.0	4752552.0	3219729.0	22888.0	4665313.0
SC_372	1225377.0	374603.0	862205.0	3605.0	471146.0
SC_373	14410700.0	3238105.0	7767574.0	17283.0	4723127.0
SC_375	18000254.0	488767.0	6506859.0	12616.0	2203589.0
SC_380	18982120.0	548539.0	4164583.0	13171.0	1604851.0
SC_387	13756976.0	1258717.0	9617668.0	12002.0	3822271.0
SC_390	10610529.0	461869.0	10270658.0	8174.0	2023901.0
SC_394	20582907.0	642511.0	4321440.0	14906.0	1705743.0
SC_398	22701953.0	809858.0	5873932.0	20255.0	3500002.0
SC_400	18409524.0	1531761.0	5624972.0	17707.0	3213009.0
SC_403	18374529.0	723982.0	3135358.0	15493.0	2912801.0
SC_408	11287749.0	518080.0	8186854.0	9390.0	2608883.0
SC_409	14418269.0	1024187.0	6282610.0	15013.0	2784266.0
SC_410	15366061.0	760190.0	6981639.0	14443.0	2222035.0
SC_413	10895249.0	780139.0	18909696.0	8475.0	4330694.0
SC_414	11844713.0	951390.0	14554044.0	10893.0	3227629.0
SC_417	24454208.0	713672.0	4635151.0	15426.0	2670777.0
SC_421	9957501.0	745633.0	13660093.0	15258.0	1902035.0
SC_428	13224471.0	500299.0	12465156.0	10740.0	3904631.0
SC_429	20823774.0	777794.0	3047206.0	18408.0	1584183.0
SC_433	16428243.0	517744.0	4150511.0	14489.0	1653020.0
SC_439	12517997.0	574292.0	10648510.0	10101.0	3052037.0
SC_443	15467780.0	563728.0	7142899.0	13453.0	2463416.0
SC_457	14844422.0	925824.0	10577205.0	12712.0	1984281.0
SC_458	20250168.0	1204999.0	1328501.0	19793.0	1823972.0
SC_459	16254553.0	736292.0	3094884.0	14648.0	1605899.0
SC_460	16480735.0	570506.0	5733180.0	17535.0	1641125.0
SC_461	15663560.0	1033223.0	7997030.0	11953.0	1779539.0
SC_471	20283581.0	832079.0	3898199.0	10493.0	2126365.0
SC_472	18185751.0	639980.0	3701937.0	10457.0	2033241.0
SC_473	24804471.0	952013.0	2469343.0	16628.0	1454013.0
SC_479	16510892.0	810397.0	9104554.0	12008.0	2435715.0
SC_484	18011517.0	691189.0	2074622.0	12504.0	1489267.0
SC_485	20684201.0	839207.0	1075584.0	16519.0	1335647.0
SC_486	14851282.0	420362.0	6119351.0	10320.0	2315413.0
SC_487	24036207.0	1458444.0	4872465.0	23357.0	2264357.0
SC_488	6149692.0	416086.0	17404604.0	5631.0	3342851.0
SC_491	16122751.0	498044.0	10707723.0	12129.0	2577474.0
SC_492	18529694.0	940409.0	3651168.0	15342.0	2602053.0
SC_496	17859459.0	628151.0	8371675.0	11934.0	2880881.0
SC_497	21588431.0	739149.0	2977934.0	20812.0	1645886.0
SC_498	19897480.0	798865.0	3330602.0	16667.0	1913065.0
