GENE	REP	FC_mean	SE_mean	t_test
PPARG	NC + OA	1,000	0,0253649433	0,5879978158
PPARG	hsa-miR-372-3p + OA	0,882	0,1730882558	
PNPLA2	NC + OA	1,000	0,6437671279	0,2430561613
PNPLA2	hsa-miR-372-3p + OA	0,449	0,195646384	
DGAT2	NC + OA	1,000	0,4281888365	0,4627613518
DGAT3	hsa-miR-372-3p + OA	0,263	0,06709488689	
FAS	NC + OA	1,000	0,2673172806	0,09374163982
FAS	hsa-miR-372-3p + OA	0,095	0,04301184996	
ACACA	NC + OA	1,000	0,1394592763	0,02952105718
ACACA	hsa-miR-372-3p + OA	0,086	0,03397368331	
