Sample	Mapped (with MQ>0)	Unmapped
SC_498_mature_hairpin_genome	2744597	3371428
SC_498_mature_hairpin	4617520	6060341
SC_498_mature	15766696	10440192
SC_497_mature_hairpin_genome	2735429	2724480
SC_497_mature_hairpin	4111775	5404453
SC_497_mature	18023058	9212014
SC_496_mature_hairpin_genome	7165355	4760107
SC_496_mature_hairpin	3903051	11870674
SC_496_mature	14490643	15486155
SC_492_mature_hairpin_genome	2893437	4415210
SC_492_mature_hairpin	4691937	7236935
SC_492_mature	14407144	11646032
SC_491_mature_hairpin_genome	9050120	4777210
SC_491_mature_hairpin	3153686	13788818
SC_491_mature	13351633	16738581
SC_488_mature_hairpin_genome	12744195	8553088
SC_488_mature_hairpin	1432302	21260358
SC_488_mature	4870620	22612182
SC_487_mature_hairpin_genome	4278599	4376546
SC_487_mature_hairpin	4927556	8578919
SC_487_mature	19747408	13190175
SC_486_mature_hairpin_genome	5248198	3638952
SC_486_mature_hairpin	3940979	8853917
SC_486_mature	11412197	12540551
SC_485_mature_hairpin_genome	876498	2405472
SC_485_mature_hairpin	3870100	3248134
SC_485_mature	17333731	6838753
SC_484_mature_hairpin_genome	1432239	2829136
SC_484_mature_hairpin	2820206	4190029
SC_484_mature	15650928	6831574
SC_479_mature_hairpin_genome	8108405	4281557
SC_479_mature_hairpin	3431530	12337417
SC_479_mature	13487647	15581922
SC_473_mature_hairpin_genome	2392675	2642806
SC_473_mature_hairpin	5073951	4948371
SC_473_mature	20467672	9676396
SC_472_mature_hairpin_genome	3511799	2775384
SC_472_mature_hairpin	7331665	6217497
SC_472_mature	12218247	12885627
SC_471_mature_hairpin_genome	3453391	3254426
SC_471_mature_hairpin	8164995	6641090
SC_471_mature	13664246	14052468
SC_461_mature_hairpin_genome	7563990	3304204
SC_461_mature_hairpin	3469039	10813155
SC_461_mature	12790056	13974337
SC_460_mature_hairpin_genome	5230030	2708863
SC_460_mature_hairpin	3835718	7903166
SC_460_mature	13237348	11399583
SC_459_mature_hairpin_genome	2783611	2639003
SC_459_mature_hairpin	3582548	5378163
SC_459_mature	13242432	8680672
SC_458_mature_hairpin_genome	1375038	3171515
SC_458_mature_hairpin	5505378	4459196
SC_458_mature	15408741	9676346
SC_457_mature_hairpin_genome	9385631	4177300
SC_457_mature_hairpin	2909240	13515507
SC_457_mature	12335871	16210908
SC_443_mature_hairpin_genome	5468937	4747805
SC_443_mature_hairpin	3974281	10179572
SC_443_mature	12034498	13864526
SC_439_mature_hairpin_genome	9000706	5346326
SC_439_mature_hairpin	2826157	14310067
SC_439_mature	10058851	16933174
SC_433_mature_hairpin_genome	3412034	2991006
SC_433_mature_hairpin	2852106	6362163
SC_433_mature	13979932	8989589
SC_429_mature_hairpin_genome	2465541	3040548
SC_429_mature_hairpin	3799870	5450107
SC_429_mature	17580501	8947853
SC_428_mature_hairpin_genome	9835883	7078888
SC_428_mature_hairpin	3667182	16868667
SC_428_mature	10167817	20226533
SC_421_mature_hairpin_genome	12039297	4382042
SC_421_mature_hairpin	1921054	16367524
SC_421_mature	8334983	18125108
SC_417_mature_hairpin_genome	3840665	4230821
SC_417_mature_hairpin	4558184	8009437
SC_417_mature	20566865	12189260
SC_414_mature_hairpin_genome	11626154	7192202
SC_414_mature_hairpin	2384522	18764466
SC_414_mature	9773314	20975321
SC_413_mature_hairpin_genome	15273686	8755282
SC_413_mature_hairpin	2075044	23986778
SC_413_mature	9149532	25922290
SC_410_mature_hairpin_genome	5421609	4646857
SC_410_mature_hairpin	2900623	9994884
SC_410_mature	12919955	12648790
SC_409_mature_hairpin_genome	4530560	5646158
SC_409_mature_hairpin	3999053	10117341
SC_409_mature	11038048	13776426
SC_408_mature_hairpin_genome	6583428	4797782
SC_408_mature_hairpin	2790714	11336814
SC_408_mature	8876025	13926824
SC_403_mature_hairpin_genome	2558149	4200888
SC_403_mature_hairpin	5223502	6717196
SC_403_mature	13969652	11492819
SC_400_mature_hairpin_genome	4330659	6183592
SC_400_mature_hairpin	4497625	10417103
SC_400_mature	14697933	14468745
SC_398_mature_hairpin_genome	4324574	5666444
SC_398_mature_hairpin	5469763	9937686
SC_398_mature	18207151	14977889
SC_394_mature_hairpin_genome	3740196	3041386
SC_394_mature_hairpin	3180039	6725726
SC_394_mature	17895589	9632687
SC_390_mature_hairpin_genome	8452470	4373750
SC_390_mature_hairpin	1923806	12776493
SC_390_mature	8992467	14532067
SC_387_mature_hairpin_genome	7490021	7285833
SC_387_mature_hairpin	2952557	14726708
SC_387_mature	11167772	17470973
SC_380_mature_hairpin_genome	3221221	3148514
SC_380_mature_hairpin	3235044	6323416
SC_380_mature	16180366	9298625
