,"Overall 
(n = 78)","Female
(n=59)","Male
(n=19)",p test
Age (years) median (IQR),47.03 (13.75),46.53 (13),48.58 (14),0.408
Body Mass Index (kg/m^2)  median (IQR),46.11 (8.70),45.68 (8.76),47.42 (8.70),0.284
NAFLD Activity Score (%),,,,0.510
0,22 (28.2),16 (27.1),6 (31.6),
1,16 (20.5),13 (22.0),3 (15.8),
2,17 (21.8),14 (23.7),3 (15.8),
3,9 (11.5),7 (11.9),2 (10.5),
4,9 (11.5),7 (11.9),2 (10.5),
>=  5,5 ( 6.4),2 ( 3.4),3 (15.8),
Hepatic Steatosis (Scale) (%),,,,0.818
< 5%,28 (35.9),21 (35.6),7 (36.8),
5-33%,25 (32.1),20 (33.9),5 (26.3),
> 33-66%,20 (25.6),15 (25.4),5 (26.3),
> 66%,5 ( 6.4),3 ( 5.1),2 (10.5),
Hepatocytic ballooning (%),,,,0.489
None,58 (74.4),45 (76.3),13 (68.4),
Few cells,13 (16.7),10 (16.9),3 (15.8),
Many cells,7 ( 9.0),4 ( 6.8),3 (15.8),
Lobular Imflammation (%),,,,0.596
No foci,52 (66.7),41 (69.5),11 (57.9),
< 2 foci/200x,19 (24.4),14 (23.7),5 (26.3),
2-4 foci/200x,4 ( 5.1),2 ( 3.4),2 (10.5),
> 4 foci/200x,3 ( 3.8),2 ( 3.4),1 ( 5.3),
Diabetes,,,,1.000
Yes (%),21 (26.9),16 (27.1),5 (26.3),
No (%),57 (73.1),43 (72.9),14 (73.7),
Hyperlipidemia,,,,0.006
Yes (%),27 (34.6),15 (25.4),12 (63.2),
No (%),51 (65.4),44 (74.6),7 (36.8),
Non-alcoholic steatohepatitis (NASH),,,,0.249
NASH (%),12 (15.4),7 (11.9),5 (26.3),
Non-NASH (%),66 (84.6),52 (88.1),14 (73.7),
